,speakers,captions,lines
647,Steve Rogers,"[""Ultron unplugs himself from the Cradle and blasts Steve back onto another car as he tries to enter the truck, but with some maneuvering Steve manages to get back onto the truck's roof""]","Thanks, Barton."
648,Ultron,,"You know what's in that Cradle? The power to make real change, and that terrifies you."
649,Steve Rogers,['Steve tries to fight with Ultron'],I wouldn't call it a comfort.
650,Ultron,"['Steveâ€™s shield gets caught in his chest, and he smacks it away and fires at Steve']",Stop it!
651,Clint Barton,['to Natasha'],"We got a window. Four, threeâ€¦ give 'em hell."
652,Natasha Romanoff,,I'm always picking up after you boys.
653,Clint Barton,,"They're heading under the overpass, I've got no shot."
654,Natasha Romanoff,,Which way?
655,Clint Barton,['Natasha heads over the truck. She throws Steve back his shield and he uses it to knock Ultron away from him'],Hard right... Now.
656,Natasha Romanoff,['to the pedestrians on the pavement as she chases after the truck on her bike'],"Out of the way, coming through! Sorry, coming through!"
657,Steve Rogers,['Steve continues his battle with Ultron on top of the truck'],Come on!
658,Natasha Romanoff,,"Clint, can you draw out the guards?"
659,Clint Barton,,Let's find out.
660,Natasha Romanoff,['to the pedestrians in her way'],Beep beep!
661,Clint Barton,,"Heading back towards you. So whatever youâ€™re gonna do, do it now."
662,Natasha Romanoff,,"I'm going in. Cap, can you keep him occupied?"
663,Steve Rogers,['as he continues his battle with Ultron on a speeding train'],What do you think I've been doing?
664,Clint Barton,,The package is airborne. I have a clean shot.
665,Natasha Romanoff,,Negative. I am still in the truck.
666,Clint Barton,,What the hell are you...?
667,Natasha Romanoff,,"Just be ready, I'm sending the package to you."
668,Clint Barton,,How do you want me to take it?
669,Natasha Romanoff,,"Uhh, you might wish you hadn't asked that."
670,Ultron,,Please. Don't do this.
671,Wanda Maximoff,,What choice do we have?
672,Steve Rogers,,I lost him! He's headed your way!
673,Clint Barton,,"Nat, we gotta go."
674,Clint Barton,,"Nat! Cap, you see Nat?"
675,Steve Rogers,,"If you have the package, get it to Stark! Go!"
676,Clint Barton,,Do you have eyes on Nat?
677,Steve Rogers,"['reluctantly Barton takes off in the Quinjet; back to the train', 'Pietro speeds off; to Wanda', 'as Pietro picks up civilians and moves them out of the way of the train, Wanda uses her powers and stops the train']",Go!  Civilians in our path.  Can you stop this thing?
678,Pietro Maximoff,,I'm fine. I just need to take a minute.
679,Steve Rogers,,I'm very tempted not to give you one.
680,Wanda Maximoff,,"The Cradle, did you get it?"
681,Steve Rogers,,Stark will take care of it.
682,Wanda Maximoff,,"No, he won't."
683,Steve Rogers,,"You don't know what you're talking about, Stark's not crazy."
684,Wanda Maximoff,,He will do anything to make things right.
685,Steve Rogers,,"Stark, come in. Stark. Anyone on comms?"
686,Wanda Maximoff,,Ultron can't tell the difference between saving the world and destroying it. Where do you think he gets that?
687,Bruce Banner,,Anything on Nat?
688,Tony Stark,,"Haven't heard. But she's alive, or Ultron'd be rubbing our faces in it."
689,Clint Barton,,This is sealed tight.
690,Bruce Banner,,"We're going to need to access the program, break it down from within."
691,Tony Stark,,"Hm. Any chance Natasha might leave you a message, outside the internet, old school spy stuff?"
692,Clint Barton,['Barton leaves'],"There's some nets I can cast. Yeah, alright. I'll find her."
693,Bruce Banner,,"I can work on tissue degeneration, if you can fry whatever operational system Cho implanted."
694,Tony Stark,,"Yeah, about that."
695,Bruce Banner,['Banner looks at Stark'],No.
696,Tony Stark,,You have to trust me.
697,Bruce Banner,,Kinda don't.
698,Tony Stark,"[""he brings up the 3D image of Jarvis's consciousness""]",Our ally? The guy protecting the military's nuclear codes? I found him.
699,JARVIS,,"Hello, Dr. Banner."
700,Tony Stark,,"Ultron didn't go after JARVIS cause he was angry. He attacked him because he was scared of what he can do. So JARVIS went underground. Okay? Scattered, dumped his memory. But not his protocols. He didn't even know he was in there, until I pieced him together."
701,Bruce Banner,,"So, you want me to help you put JARVIS into this thing?"
702,Tony Stark,['Banner shakes his head'],"No, of course not! I want to help you put JARVIS in this thing.  We're out of my field here. You know bio-organics better than anyone."
703,Bruce Banner,,And you just assume that JARVIS' operational matrix can beat Ultron's?
704,Tony Stark,,"JARVIS has been beating him from inside without knowing it. This is the opportunity, we can create Ultron's perfect self, without the homicidal glitches he thinks are his winning personality. We have to."
705,JARVIS,,I believe it's worth a go.
706,Bruce Banner,,"No, I'm in a loop! I'm caught in a time loop, this is exactly where it all went wrong."
707,Tony Stark,['Banner shakes his head'],"I know, I know. I know what everyone's going to say, but they're already saying it. We're mad scientists. We're monsters, buddy. You gotta own it. Make a stand.  It's not a loop. It's the end of the line."
708,Ultron,"['as Natasha becomes conscious', ""a bigger body of Ultron's destroys him"", 'he locks Natasha in a cell']","I wasn't sure you'd wake up. I hoped you would, I wanted to show you something. I don't have anyone else. I think a lot about meteors, the purity of them. Boom! The end, start again. The world made clean for the new man to rebuild. I was meant to be new. I was meant to be beautiful. The world would've looked to the sky and seen hope, seen mercy. Instead they'll look up in horror because of you. You've wounded me. I give you full marks for that. But, like the man said, ""What doesn't kill meâ€¦""  ""â€¦just makes me stronger."""
709,Tony Stark,,This framework is not compatible.
710,Bruce Banner,,The genetic coding tower's at ninety-seven percent. You have got to upload that schematic in the next three minutes.
711,Steve Rogers,,I'm gonna say this once.
712,Tony Stark,,"How about ""nonce""?"
713,Steve Rogers,,Shut it down!
714,Tony Stark,,"Nope, not gonna happen."
715,Steve Rogers,,You don't know what you're doing.
716,Bruce Banner,,And you do? She's not in your head?
717,Wanda Maximoff,,I know you're angry.
718,Bruce Banner,,"Oh, we're way past that. I could choke the life out of you and never change a shade."
719,Steve Rogers,,"Banner, after everything that's happened--"
720,Tony Stark,,That's nothing compared to what's coming!
721,Wanda Maximoff,,You don't know what's in there!
722,Steve Rogers,,This isn't a game--
723,Wanda Maximoff,,The creature--
724,Pietro Maximoff,,"No, no. Go on. You were saying?"
725,Wanda Maximoff,,Pietro!
726,Clint Barton,,What? You didn't see that coming?
727,Tony Stark,,I'm rerouting the upload.
728,Bruce Banner,"['to Wanda, as he grabs her', 'After some fighting, Thor enters and hits the cradle with his hammer, sending a powerful bolt of lightning through it that brings the body to life', 'they all look in shock at the new entity']","Go ahead, piss me off.  Wait!"
729,Vision,"[""In JARVIS' voice, as everyone gathers around him"", 'to Thor']","I'm sorry, that was...odd.  Thank you."
730,Steve Rogers,,"Thor, you helped create this?"
731,Thor,"[""he points to the gem inside Vision's head""]",I've had a vision. A whirlpool that sucks in all hope of life and at its center is that.
732,Bruce Banner,,"What, the gem?"
733,Thor,,"It's the Mind Stone. It's one of the six Infinity Stones, the greatest power in the universe, unparalleled in its destructive capabilities."
734,Steve Rogers,,Then why would you bring it to...
735,Thor,,Because Stark is right.
736,Bruce Banner,,"Oh, it's definitely the end times."
737,Thor,,The Avengers cannot defeat Ultron.
738,Vision,,Not alone.
739,Steve Rogers,,"Why does your ""vision"" sound like JARVIS?"
740,Tony Stark,,We... reconfigured JARVIS' matrix to create something new.
741,Steve Rogers,,I think I've had my fill of new.
742,Vision,,You think I'm a child of Ultron?
743,Steve Rogers,,You're not?
744,Vision,,I'm not Ultron. I'm not JARVIS. I am... I am.
745,Wanda Maximoff,,I looked in your head and saw annihilation.
746,Vision,,Look again.
747,Clint Barton,,Yeah. Her seal of approval means jack to me.
748,Thor,,"Their powers, the horrors in our heads, Ultron himself, they all came from the Mind Stone, and they're nothing compared to what it can unleash. But with it on our side..."
749,Steve Rogers,,Is it? Are you? On our side?
750,Vision,,I don't think it's that simple.
751,Clint Barton,,Well it better get real simple real soon.
752,Vision,,"I am on the side of life. Ultron isn't, he will end it all."
753,Tony Stark,,What's he waiting for?
754,Vision,,You.
755,Bruce Banner,,Where?
756,Clint Barton,,Sokovia. He's got Nat there too.
757,Bruce Banner,,"If we're wrong about you, if you're the monster that Ultron made you to be..."
758,Vision,"['he looks around at them all', ""he holds up Thor's hammer as everyone stares in shock. When Thor takes it, Vision walks off.""]","What will you do?  I don't want to kill Ultron. He's unique, and he's in pain. But that pain will roll over the earth, so he must be destroyed. Every form he's built, every trace of his presence on the net, we have to act now. And not one of us can do it without the others. Maybe I am a monster. I don't think I'd know if I were one. I'm not what you are, and not what you intended. So there may be no way to make you trust me. But we need to go."
759,Thor,['pats Stark on the shoulder'],Right.  Well done.
760,Steve Rogers,['to the others'],Three minutes. Get what you need.
761,FRIDAY,,"Good evening, boss."
762,Tony Stark,,"No way we all get through this. If even one tin soldier is left standing, we've lost. It's gonna be blood on the floor."
763,Steve Rogers,,I got no plans tomorrow night.
764,Tony Stark,,I get first crack at the big guy. Iron Man's the one he's waiting for.
765,Vision,['walks past'],"That's true, he hates you the most."
766,Steve Rogers,,"Ultron knows we're coming. Odds are we'll be riding into heavy fire, and that's what we signed up for. But the people of Sokovia, they didn't. So our priority is getting them out."
767,Pietro Maximoff,['no one takes this seriously so Pietro returns with a rifle and starts shooting in the air'],"We're under attack! Clear the city, now!  Get off your asses."
768,Steve Rogers,,"All they want is to live their lives in peace, and that's not going to happen today. But we can do our best to protect them. And we can get the job done, and find out what Ultron's been building. We find Romanoff, and we clear the field. Keep the fight between us. Ultron thinks we're monsters and we're what's wrong with the world. This isn't just about beating him. It's about whether he's right."
769,Bruce Banner,"[""inside her cell, Natasha hears Banner's voice""]",Natasha! Natasha!
770,Natasha Romanoff,,Bruce?
771,Bruce Banner,['he walks over to her cell'],You alright?
772,Natasha Romanoff,,Yeah.
773,Bruce Banner,,"The team's in the city, it's about to light up."
774,Natasha Romanoff,,I don't suppose you found a key lying around somewhere?
775,Bruce Banner,['holds up an alien rifle and blasts the cell door open'],"Yeah, I did."
776,Natasha Romanoff,,So what's our play?
777,Bruce Banner,,I'm here to get you to safety.
778,Natasha Romanoff,,Job's not finished.
779,Bruce Banner,,"We could help with the evacuation, but I can't be in a fight near civilians. And you've done plenty. Our fight is over."
780,Natasha Romanoff,,So we just disappear?
781,FRIDAY,"['as the city is being evacuated', 'Stark flies into the church']","Your man's in the church, boss. I think he's waiting for you."
782,Ultron,,Come to confess your sins?
783,Tony Stark,,"I don't know, how much time you got?"
784,Ultron,,More than you.
785,Tony Stark,,"Uhhh. Have you been juicing? A little Vibranium cocktail? You're looking, I don't wanna say, puffy..."
786,Ultron,,You're stalling to protect the people.
787,Tony Stark,,"Well, that is the mission. Did you forget?"
788,Ultron,"[""the Vibranium core he's placed beneath the floor erupts""]","I've moved beyond your mission. I'm free.  What, you think you're the only one stalling?"
789,FRIDAY,,There's the rest of the Vibranium. Function
790,Ultron,,"This is how you end, Tony. This is peace in my time."
791,Steve Rogers,,Go!
792,Wanda Maximoff,,Get off the bridge! Run!
793,Vision,,Ultron.
794,Ultron,,My Vision. They really did take everything from me.
795,Vision,,"You set the terms, you can change them."
796,Ultron,,Alright.
797,Tony Stark,,FRIDAY! The Vision?
798,FRIDAY,,"Boss, it's working. He's burning Ultron out of the net, he won't escape through there."
799,Ultron,"['to the Vision as he throws him away', 'he activates the Vibranium core, and the earth around Sokovia starts to crack']","You shut me out! You think I care? You take away my world, I take away yours."
800,Tony Stark,,FRIDAY?
801,FRIDAY,,Sokovia's going for a ride.
802,Ultron,['as Sokovia is rising into the air'],"Do you see? The beauty of it, the inevitability. You rise, only to fall. You, Avengers, you are my meteor, my swift and terrible sword and the earth will crack with the weight of your failure. Purge me from your computers, turn my own flesh against me. It means nothing. When the dust settles, the only thing living in this world will be metal."
803,Bruce Banner,['as the earth is shaking falling in around them'],We gotta move.
804,Natasha Romanoff,,You're not going to turn green?
805,Bruce Banner,,I've got a compelling reason not to lose my cool.
806,Natasha Romanoff,"['she kisses Banner then pushes him off the edge', 'the Hulk jumps up in front of her', 'with Natasha on his back yelling in fright, Hulk gets into the city', 'Hulk goes off and Natasha rushes off in the opposite direction']",I adore you.  But I need the other guy.  Let's finish the job.  I really hope this makes us even. Now go be a hero.
807,FRIDAY,,"The Vibranium core has got a magnetic field, that's what's keeping the rock together."
808,Tony Stark,,If it drops?
809,FRIDAY,"['Stark flies towards the city and a building starts to collapse as the ground shakes', 'Stark flies in to find a family still in their apartment']",Right now the impact would kill thousands. Once it gets high enough
810,Tony Stark,['Stark flies the family in the tub out of the collapsing building'],Hi. Okay. Get in the tub!
811,FRIDAY,,"I got airborne, heading up to the bridge."
812,Tony Stark,,"Cap, you got incoming."
813,Steve Rogers,,"Incoming already came in. Stark, you worry about bringing the city back down safely. The rest of us have one job"
814,Clint Barton,,"Go, go, move!"
815,Wanda Maximoff,['Wanda starts to break down'],How could I let this happen?
816,Clint Barton,,"Hey, hey, you okay?"
817,Wanda Maximoff,,This is all our fault.
818,Clint Barton,"['Wanda just looks at him', 'he gets up and gets ready to leave', 'he leaves and starts shooting at the robots']","Hey, look at me. It's your fault, it's everyone's fault, who cares. Are you up for this? Are you? Look, I just need to know, cause the city is flying. Okay, look, the city is flying, we're fighting an army of robots, and I have a bow and arrow. None of this makes sense. But I'm going back out there because it's my job. Okay? And I can't do my job and babysit. It doesn't matter what you did, or what you were. If you go out there, you fight, and you fight to kill. Stay in here, you're good, I'll send your brother to come find you, but if you step out that door, you are an Avenger.  Alright, good chat.  Yeah, the city is flying."
819,Steve Rogers,"['to the woman Thor threw up at Steve after her car fell of the edge of a collapsing bridge', 'Steve helps her up to safety']",I got you! Just look at me.
820,Ultron,['he throws the attacking robots off the edge of the bridge'],You can't save them all. You'll never--
821,Steve Rogers,['Thor lands on the bridge on the top of another car he was saving'],"You'll never what? You didn't finish!  What, were you napping?"
822,Ultron,['as Thor and Steve are fighting off the robots'],Thor! You're bothering me.
823,Clint Barton,,"Alright, we're all clear here."
824,Steve Rogers,,We are not clear! We are very not clear!
825,Clint Barton,"['just then Pietro speeds in, picks up Wanda and leaves']","Alright, coming to you."
826,Pietro Maximoff,,Keep up old man!
827,Clint Barton,"['Barton aims an arrow at Pietro', 'He starts jogging towards the action.']","Nobody would know. Nobody.  ""The last I saw him, when Ultron was sitting on him. Uh...yeah, he'll be missed, that quick little bastard. I miss him already."""
828,Soldier,['as Wanda uses her powers to destroy the robots'],Hold your fire!
829,Steve Rogers,['as Natasha joins them in their battle with the robots'],Romanoff!
830,Natasha Romanoff,,Thanks.
831,FRIDAY,,"The anti-gravs are rigged to flip. Touch 'em, they'll go full reverse thrust. The city's not coming down slow."
832,Tony Stark,,The spire's Vibranium. If I get Thor to hit it...
833,FRIDAY,,"It'll crack, but that's not enough, the impact would still be devastating."
834,Tony Stark,,"Maybe if we cap the other end, keep the atomic action doubling back."
835,FRIDAY,,"That could vaporize the city, and everyone on it."
836,Steve Rogers,,"The next wave's gonna hit any minute. What have you got, Stark?"
837,Tony Stark,,"Well, nothing great. Maybe a way to blow up the city. That'll keep it from impacting the surface if you guys can get clear."
838,Steve Rogers,,"I asked for a solution, not an escape plan."
839,Tony Stark,,Impact radius is getting bigger every second. We're going to have to make a choice.
840,Natasha Romanoff,,"Cap, these people are going nowhere. If Stark finds a way to blow this rock..."
841,Steve Rogers,,Not 'til everyone's safe.
842,Natasha Romanoff,,Everyone up here versus everyone down there? There's no math there.
843,Steve Rogers,,I'm not leaving this rock with one civilian on it.
844,Natasha Romanoff,['Steve turns to look at her'],I didn't say we should leave.  There's worse ways to go. Where else am I gonna get a view like this?
845,Nick Fury,"['over comms', 'the Helicarrier show up; cut to interior']","Glad you like the view, Romanoff. It's about to get better.  Nice, right? I pulled her out of mothballs with a couple of old friends. She's dusty, but she'll do."
846,Steve Rogers,,"Fury, you son of a bitch."
847,Nick Fury,,Oooh! You kiss your mother with that mouth?
848,Maria Hill,,Altitude is eighteen thousand and climbing.
849,Specialist Cameron Klein,,"Lifeboats secure to deploy. Disengage in three, two... take 'em out."
850,Pietro Maximoff,['as they watch the lifeboats fly in towards them'],This is SHIELD?
851,Steve Rogers,,This is what SHIELD's supposed to be.
852,Pietro Maximoff,,This is not so bad.
853,Steve Rogers,,Let's load 'em up.
854,Maria Hill,,"Sir, we have multiple bogies converging on our starboard flank."
855,Nick Fury,,Show 'em what we got.
856,Maria Hill,,You're up.
857,James Rhodes,,Yes! Now this is gonna be a good story.
858,Tony Stark,,Yep. If you live to tell it.
859,James Rhodes,,You think I can't hold my own?
860,Tony Stark,,"We get through this, I'll hold your own."
861,James Rhodes,,You had to make it weird.
862,Clint Barton,['as the team helps the people onto the Helicarrier lifeboats'],"Alright, let's load 'em up! Alright, here we go. Here we go, let's move. Let's go everyone!"
863,Specialist Cameron Klein,,"Number six boat is topped and locked. Or, uh, or stocked, topped. It... it's, uh, full of people."
864,Maria Hill,['one of the robots crashes in through the Helicarrier window'],Incoming!
865,Specialist Cameron Klein,"['Hill shoots at it and Fury stabs in with a piece of metal, destroying it']","Oh, God!"
866,Ultron,"[""as he's hitting Thor""]",You think you're saving anyone? I turn that key and drop this rock a little early and it's still billions dead. Even you can't stop that.
867,Thor,"[""Vision uses Thor's hammer to hit Ultron. Vision then throws the hammer back to Thor""]","I am Thor, son of Odin, and as long as there is life in my breast, I am...running out of things to say! Are you ready?"
868,Vision,,It's terribly well balanced.
869,Thor,,"Well, if there's too much weight, you lose power on the swing, so."
870,Tony Stark,,I got it! Create a heat seal. I can...I can supercharge the spire from below.
871,FRIDAY,"[""Stark fights off the robots from the Helicarrier's lifeboats""]",Running numbers.  A heat seal could work with enough power.
872,Tony Stark,,"Thor, I got a plan!"
873,Thor,,We're out of time. They're coming for the core.
874,Tony Stark,,"Rhodey, get the rest of the people on board that carrier."
875,James Rhodes,,On it.
876,Tony Stark,,"Avengers, time to work for a living."
877,Pietro Maximoff,['the rest of the team joins Thor and Vision; to Wanda'],You good?
878,Wanda Maximoff,,Yeah.
879,Tony Stark,,"Romanoff? You and Banner better not be playing ""hide the zucchini."""
880,Natasha Romanoff,['as she joins the rest of the team'],"Relax, Shell-head. Not all of us can fly.  What's the drill?"
881,Tony Stark,['points to the Vibranium core'],"This is the drill. If Ultron gets a hand on the core, we lose."
882,Thor,,Is that the best you can do?
883,Steve Rogers,,You had to ask.
884,Ultron,,"This is the best I can do. This is exactly what I wanted. All of you, against all of me. How could you possibly hope to stop me?"
885,Tony Stark,,"Well, like the old man said. Together."
886,Ultron,"[""A cinematic sequence; they all collectively fight off Ultron's robots with their own respective abilities. Ultron and Vision start battling it out. After a moment, Thor and Stark join him. The combined power is enough to damage Ultron's Vibranium body."", 'Hulk interrupts him by knocking him far away. The robots start to retreat']","You know, with the benefit of hindsight--"
887,Thor,,They'll try to leave the city.
888,Tony Stark,,"We can't let 'em, not even one. Rhodey!"
889,James Rhodes,"['to the approaching robots', 'Vision flies in and helps to destroy the robots']","I'm on it.  Oh, no, I didn't say you could leave. War Machine, comin' at you, right--  Okay, what?"
890,Steve Rogers,,"We gotta move out. Even I can tell the air is getting thin. You guys get to the boats, I'll sweep for stragglers, be right behind you."
891,Clint Barton,,What about the core?
892,Wanda Maximoff,"['Steve, Barton and Natasha leave; to Pietro']",I'll protect it. It's my job.  Get the people on the boats.
893,Pietro Maximoff,,I'm not going to leave you here.
894,Wanda Maximoff,['she blasts off an approaching robot'],"I can handle this.  Come back for me when everyone else is off, not before."
895,Pietro Maximoff,,Hmm.
896,Wanda Maximoff,,You understand?
897,Pietro Maximoff,,"You know, I'm twelve minutes older than you."
898,Wanda Maximoff,['Wanda chuckles'],Go.
899,FRIDAY,,"Boss, power levels are way below opt..."
900,Tony Stark,,Re-route everything. We get one shot at this.
901,Clint Barton,,"I know what I need to do. The dining room! If I knock out that east wall, it'll make a nice work space for Laura, huh? Put up some baffling, she can't hear the kids running around, what do you think?"
902,Natasha Romanoff,,You guys always eat in the kitchen anyway.
903,Clint Barton,['they reach the lifeboats'],No one eats in a dining room.  We don't have a lot of time.
904,Natasha Romanoff,['Natasha finds the Hulk'],"So get your ass on a boat.  Hey, big guy. Sun's getting real low."
905,Zrinka,,Costel? We were in the market. Costel?!
906,Tony Stark,,"Thor, I'm gonna need you back in the church."
907,Thor,['referring to the people getting onto the lifeboats; to Steve'],Is this the last of them?
908,Steve Rogers,,Yeah. Everyone else is on the carrier.
909,Tony Stark,,"You know, if this works, we maybe don't walk away."
910,Thor,,Maybe not.
911,Ultron,"['sings', 'as Barton is saving the boy, Costel, Ultron starts shooting at them. Barton prepares to take the shots to save the kid, but Pietro runs into the line of fire and takes the shots to save both of them']","I got no strings, so I have fun. I'm not tied up to anyone."
912,Pietro Maximoff,"['Pietro falls to the ground as he dies. In the church, Wanda senses his death, causing her to fall in despair, and release a wave of energy that destroys all the robots around her.']",You didn't see that coming.
913,Ultron,,"Oh, for God's sake!"
914,Clint Barton,['Barton lies down next to the dead body of Pietro'],"No, no. I'm fine.  Oh, it's been a long day."
915,Ultron,,"Wanda. If you stay here, you'll die."
916,Wanda Maximoff,"[""she uses her power to rip Ultron's core out of his body""]",I just did. Do you know how it felt?  It felt like that.
917,Tony Stark,"['Thor brings on a blast of lightning, at the same time Vision flies in, picks up Wanda and flies off with her as the city is being destroyed']","Thor, on my mark.  Now!"
918,Natasha Romanoff,"['to Hulk from a screen as he remains on the jet he knocked Ultron out of', ""Hulk turns off Natasha's camera, then sits as the jet flies off to an unknown destination""]","Hey, big guy. We did it, the job's finished. Now I need you to turn this bird around, okay? We can't track you in stealth mode, so help me out. I need you t--"
919,Vision,,You're afraid.
920,Ultron,,Of you?
921,Vision,,Of death. You're the last one.
922,Ultron,,"You were supposed to be the last. Stark asked for a savior, and settled for a slave."
923,Vision,,I suppose we're both disappointments.
924,Ultron,['Ultron chuckles'],I suppose we are.
925,Vision,,"Humans are odd. They think order and chaos are somehow opposites, and try to control what won't be. But there is grace in their failings. I think you missed that."
926,Ultron,,They're doomed.
927,Vision,,Yes. But a thing isn't beautiful because it lasts. It's a privilege to be among them.
928,Ultron,,You're unbearably naive.
929,Vision,['as Ultron goes to attack him Vision uses the infinity stone in his head to destroy him'],"Well, I was born yesterday."
930,Laura Barton,"[""From a video of Barton's new baby on Natasha's phone"", 'Natasha sees the baby has been named Nathaniel Pietro Barton']",Say hi to Auntie Nat.
931,Natasha Romanoff,,Fat.
932,Nick Fury,,"One of our tech boys flagged this, splashed down in the Banda Sea. Could be the Quinjet. But with Stark's stealth tech, we still can't track the damn thing."
933,Natasha Romanoff,,Right.
934,Nick Fury,,Probably jumped out and swam to Fiji. He'll send a postcard.
935,Natasha Romanoff,,"""Wish you were here."" You sent me to recruit him, way back when. Did you know then what was going to happen?"
936,Nick Fury,,You never know. You hope for the best and make do with what you get. I got a great team.
937,Natasha Romanoff,,Nothing lasts forever.
938,Nick Fury,,"Trouble, Miss Romanoff. No matter who wins or loses, trouble still comes around."
939,Steve Rogers,,The rules have changed.
940,Tony Stark,,We're dealing with something new.
941,Steve Rogers,,"Well, the Vision's artificial intelligence."
942,Tony Stark,,A machine.
943,Steve Rogers,,So it doesn't count.
944,Tony Stark,,No. It's not like a person lifting the hammer.
945,Steve Rogers,,Right. Different rules for us.
946,Tony Stark,,"Nice guy, but artificial."
947,Steve Rogers,,Thank you.
948,Thor,,"If he can wield the hammer, he can keep the Mind Stone. It's safe with the Vision and these days, safe is in short supply."
949,Steve Rogers,,But if you put the hammer in an elevator...
950,Tony Stark,,It would still go up.
951,Steve Rogers,,Elevator's not worthy.
952,Thor,,I'm going to miss these little talks of ours.
953,Tony Stark,,"Well, not if you don't leave."
954,Thor,,I have no choice. The Mind Stone is the fourth of the Infinity Stones to show up in the last few years. That's not a coincidence. Someone has been playing an intricate game and has made pawns of us. But once all these pieces are in position...
955,Tony Stark,,Triple Yahtzee?
956,Steve Rogers,,You think you can find out what's coming?
957,Thor,"['In reference to Stark', 'Thor returns to Asgard, and the Bifrost burns a sigil in the grass he was standing on']","I do.  Besides this one, there's nothing that can't be explained."
958,Tony Stark,"[""as they walk over towards Stark's car""]",That man has no regard for lawn maintenance. I'm gonna miss him though. And you're gonna miss me. There's gonna be a lot of manful tears.
959,Steve Rogers,,"I will miss you, Tony."
960,Tony Stark,,"Yeah? Well, it's time for me to tap out. Maybe I should take a page out of Barton's book and build Pepper a farm, hope nobody blows it up."
961,Steve Rogers,,The simple life.
962,Tony Stark,,You'll get there one day.
963,Steve Rogers,['Stark turns to get into his car'],"I don't know, family, stability. The guy who wanted all that went in the ice seventy-five years ago. I think someone else came out."
964,Tony Stark,,You alright?
965,Steve Rogers,['Stark gets into his car; Steve finds Natasha standing alone'],"I'm home.  You want to keep staring at the wall, or do you want to go to work? I mean, it's a pretty interesting wall."
966,Natasha Romanoff,,I thought you and Tony were still gazing into each other's eyes. How do we look?
967,Steve Rogers,['hands Natasha a tablet'],"Well, we're not the '27 Yankees."
968,Natasha Romanoff,,We've got some hitters.
969,Steve Rogers,,They're good. They're not a team.
970,Natasha Romanoff,"['they gather Rhodes in his War Machine suit, Vision, Sam in his Falcon suit, and Wanda in a new outfit.']",Let's beat 'em into shape.
971,Steve Rogers,,Avengers...!
972,Thanos,,"Fine, I'll do it myself."
973,END OF AVENGERS,,AGE OF ULTRO
